subject,relation,object,subject_type,object_type
Family physicians,hold,M.D.,NOUN_CHUNK,NOUN_CHUNK
certification,requires,five years,NOUN_CHUNK,DATE
term Primary Care,include,services,NOUN_CHUNK,NOUN_CHUNK
Family physicians,deliver,range,NOUN_CHUNK,NOUN_CHUNK
family physicians,treat,patients,NOUN_CHUNK,NOUN_CHUNK
Family medicine,play,important role,NOUN_CHUNK,NOUN_CHUNK
family physicians,provide,care,NOUN_CHUNK,NOUN_CHUNK
Family physicians,complete,undergraduate degree,NOUN_CHUNK,NOUN_CHUNK
Family physicians residency training,includes,rotations,NOUN_CHUNK,NOUN_CHUNK
Residents,provide,care,NOUN_CHUNK,NOUN_CHUNK
Family physicians,pursue,fellowships,NOUN_CHUNK,NOUN_CHUNK
The American Board of Family Medicine,offer,Certificates of Added,ORG,ORG
patients,have,direct access,NOUN_CHUNK,NOUN_CHUNK
1 % deterioration,produce,10 % deterioration,NOUN_CHUNK,NOUN_CHUNK
"2017 more than 1,061 practices",employing,pharmacists,CARDINAL,NOUN_CHUNK
Northumbria Healthcare NHS Foundation Trust,taken over,multiple GP practices,ORG,NOUN_CHUNK
40%,got,day appointment,PERCENT,NOUN_CHUNK
Association of Departments of Family Medicine,demanded,increased funding,ORG,NOUN_CHUNK
new GP contract,included,funding,NOUN_CHUNK,NOUN_CHUNK
Indian Medical Council,requires,three-year residency,ORG,DATE
curriculum,comprises,medicine,NOUN_CHUNK,NOUN_CHUNK
candidates,receive,integrated inpatient outpatient learning,NOUN_CHUNK,NOUN_CHUNK
candidates,receive,field training,NOUN_CHUNK,NOUN_CHUNK
Calicut,started,MD (FM,GPE,ORG
residency trained family physicians,formed,AFPI,NOUN_CHUNK,NOUN_CHUNK
Government,declared,Family Medicine,NOUN_CHUNK,ORG
the National Board of Examination India,define,standard,ORG,NOUN_CHUNK
doctors,have,formal training,NOUN_CHUNK,NOUN_CHUNK
the American Board of Medical Specialties (ABMS,announced,recognition,ORG,NOUN_CHUNK
Doctor,seek,board certification,NOUN_CHUNK,NOUN_CHUNK
Successful completion,grant,certificate,NOUN_CHUNK,NOUN_CHUNK
Preventive Medicine,provide,certification,ORG,NOUN_CHUNK
healthcare students,view,addiction substance abuse,NOUN_CHUNK,NOUN_CHUNK
The American Board of Pediatrics,require,evidence,ORG,NOUN_CHUNK
adolescent medicine fellowships,include,rotations,NOUN_CHUNK,NOUN_CHUNK
World Organisation of Family Doctors,has,membership base,ORG,NOUN_CHUNK
based undergraduate graduate Family Medicine training Curriculum,Promote,residency,NOUN_CHUNK,NOUN_CHUNK
AFPI,advocates,academic institutionalization,ORG,NOUN_CHUNK
newly instituted AIIMS,established,new department,NOUN_CHUNK,NOUN_CHUNK
AFPI,supported,equal professional opportunities,ORG,NOUN_CHUNK
National Health System Resource Centre,conducted,national consultation,NOUN_CHUNK,NOUN_CHUNK
National Health Policy,recommended,promotion,NOUN_CHUNK,NOUN_CHUNK
peer reviewed medical journal,publishes,quarterly issues,NOUN_CHUNK,DATE
Dr Abhijat Sheth,graced,FMPC 2017,PERSON,PERSON
Dr Bipin Batra Executive Director NBE,delivered,2nd Dr P Padmanabhan Memorial Award Oration,NOUN_CHUNK,NOUN_CHUNK
Noted athletic hero Mr Milkha Singh,launched,campaign,NOUN_CHUNK,NOUN_CHUNK
AFPI,instituted,oration award,ORG,NOUN_CHUNK
Drs Jyoti,pledged,donation,PERSON,NOUN_CHUNK
National Health System Resource Centre,facilitates,international exchange opportunities,NOUN_CHUNK,NOUN_CHUNK
15th World Rural Health Conference New Delhi New Delhi,hosted,15th WONCA World Rural Health conference,ORDINAL,NOUN_CHUNK
National Conference on Family Medicine and Primary Care,attracted,thousand delegates,ORG,NOUN_CHUNK
Vice President,inaugurated,conference,NOUN_CHUNK,NOUN_CHUNK
ACGME,recognizes,45 different residency programs,NOUN_CHUNK,CARDINAL
general psychiatrists,commit,general psychiatrists,NOUN_CHUNK,NOUN_CHUNK
Addiction psychiatrists,treat,wide variety,NOUN_CHUNK,NOUN_CHUNK
Addiction,Use,Disorders,NOUN_CHUNK,NOUN_CHUNK
table,gives,count,NOUN_CHUNK,NOUN_CHUNK
level,indicates,anatomical main group,NOUN_CHUNK,NOUN_CHUNK
second level,indicates,therapeutic subgroup,NOUN_CHUNK,NOUN_CHUNK
level,indicates,therapeutic pharmacological subgroup,NOUN_CHUNK,NOUN_CHUNK
fourth level,indicates,chemical therapeutic pharmacological subgroup,NOUN_CHUNK,NOUN_CHUNK
fifth level,indicates,chemical substance,NOUN_CHUNK,NOUN_CHUNK
